syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4
11,703.2777,458.0573,0.3373,0.691,1.2131,-0.7996,-0.3064,-1.2175
11,703.3438,458.858,0.3293,0.7291,1.3795,-0.9109,-0.1372,-1.518
11,703.0711,460.0956,0.3833,0.6551,1.3116,-1.215,-0.146,-1.4095
11,702.8145,461.9382,0.4526,0.4632,1.2536,-1.2848,-0.0699,-1.7892
11,702.7148,464.1598,0.4524,0.3283,1.1806,-1.2942,-0.0454,-1.7434
11,702.8006,465.2022,0.4786,0.2249,1.2615,-1.1846,0.0154,-1.7676
11,702.874,468.0042,0.49,0.0167,1.0934,-1.1846,-0.0311,-1.9157
11,702.6259,468.9508,0.5315,0.0446,0.7379,-1.1691,0.2233,-1.7072
11,700.4346,470.3743,0.5769,-0.1294,0.77,-1.0035,-0.0512,-1.3281
11,699.1712,472.7981,0.6333,-0.3444,0.9669,-0.9435,0.3104,-1.1953
11,698.2647,473.1929,0.6249,-0.4622,1.2138,-0.8932,0.617,-1.3948
11,697.7816,474.7874,0.6487,-0.5436,1.4204,-0.9205,0.3918,-1.4324
11,697.7799,476.6822,0.6683,-0.577,1.4738,-0.8808,0.3688,-1.3258
11,696.7963,477.5773,0.643,-0.6729,1.4716,-0.509,0.446,-1.3069
11,695.4326,478.3819,0.7075,-0.8272,1.3054,-0.6984,0.3034,-1.0026
11,695.1527,478.1043,0.6999,-0.9633,1.2375,-0.6129,0.4077,-1.0543
11,693.8641,477.8204,0.7293,-0.9208,1.2361,-0.6564,0.6069,-1.3174
11,693.1746,478.3081,0.7566,-0.9514,1.1855,-0.6309,0.4411,-1.1964
11,691.4097,477.8985,0.7866,-0.9052,1.2441,-0.7573,0.4433,-0.9829
11,690.6695,477.9817,0.7681,-0.89,1.3351,-0.3702,0.4607,-1.0679
11,689.3077,478.0799,0.7614,-0.8562,1.3576,-0.5574,0.659,-0.7238
11,687.0364,477.7548,0.7797,-0.921,1.3824,-0.5307,0.4961,-0.6054
11,684.2018,476.0743,0.747,-0.9796,1.4227,-0.5587,0.5031,-0.7409
11,681.7197,474.3797,0.6827,-0.9495,1.3308,-0.5929,0.5467,-0.7809
11,678.909,472.2976,0.6851,-0.7861,1.3212,-0.5552,0.6009,-1.3063
11,675.0666,470.3643,0.6539,-0.713,1.3324,-0.3729,0.4433,-0.8491
11,672.2251,469.6128,0.7081,-0.5849,1.3813,-0.224,0.4727,-0.6227
8,669.9863,469.0305,0.7025,-0.4932,1.2506,0.001,0.7069,-0.6796
8,667.1591,468.4123,0.7664,-0.3472,1.1947,0.2439,0.9512,-0.7549
8,665.6547,468.2397,0.7438,-0.2825,1.0829,0.4253,1.1113,-0.3294
